2,4,2,0.113499999
2,128,4,0.113499999
2,512,2,0.113499999
2,1024,2,0.113499999
4,256,2,0.113499999
4,2048,2,0.113499999
16,128,2,0.113499999
16,2048,4,0.113499999
32,2,2,0.113499999
128,2,2,0.113499999
128,2048,4,0.113499999
512,256,2,0.113499999
512,2048,2,0.113499999
1024,2,8,0.113499999
1024,16,2,0.113499999
1024,32,2,0.113499999
2048,128,2,0.113499999
2048,256,2,0.113499999
2048,1024,2,0.113499999
8192,8,2,0.113499999
8192,64,2,0.113499999
8192,128,2,0.113499999
8192,512,2,0.113499999
8192,512,4,0.113499999
8192,2048,2,0.113499999
8192,2048,4,0.113499999
16384,2,2,0.113499999
16384,2,8,0.113499999
16384,4,2,0.113499999
16384,128,2,0.113499999
16384,128,4,0.113499999
16384,256,2,0.113499999
16384,512,2,0.113499999
16384,1024,2,0.113499999
16384,2048,2,0.113499999
16384,2048,4,0.113499999
32768,2,4,0.113499999
32768,2,8,0.113499999
32768,2,32,0.113499999
32768,4,2,0.113499999
32768,4,128,0.113499999
32768,4,256,0.113499999
32768,8,2,0.113499999
2,2048,4,0.359899998
2,8,4,0.37470001
32768,4,2048,0.381999999
2,256,2,0.396899998
16384,2,512,0.407499999
2,128,2,0.411900014
2,64,2,0.414299995
4,4,2,0.433499992
2,256,4,0.440800011
2,2,32,0.456900001
2,2,16,0.459300011
2,2,2,0.459600002
8192,2,2,0.466600001
2,4,32,0.467799991
2,1024,4,0.468600005
16,32,2,0.476099998
8192,2,8,0.483799994
2,2,128,0.486200005
32768,4,1024,0.486299992
4,2,32,0.505900025
2,2,512,0.513499975
4,2,64,0.529200017
32768,2,2048,0.535399973
8,256,2,0.544399977
64,32,2,0.546999991
1024,2,2,0.554400027
2048,2048,2,0.555400014
256,2,2,0.558700025
4096,2,2,0.587499976
2,4,8,0.615100026
2,8,2,0.616699994
4,2,2048,0.621699989
8,512,2,0.62620002
64,4,2,0.63499999
8192,256,2,0.638499975
4,2,4,0.639500022
2,32,2,0.640799999
16384,2,2048,0.642400026
16384,2,1024,0.649299979
2,16,2,0.654100001
2,256,8,0.658200026
2,4,4,0.664099991
32768,2,128,0.664699972
2,512,8,0.671599984
2,16,4,0.671700001
2,16,32,0.678799987
2,32,8,0.679700017
2,2,2048,0.682600021
2,1024,8,0.683600008
2,32,4,0.684800029
2,4,1024,0.687399983
2,512,4,0.68870002
2,2048,2,0.688799977
2,32,32,0.690100014
2,256,1024,0.690199971
2048,4,2,0.692300022
2,8,128,0.694199979
2,4,16,0.694899976
2,2,4,0.695500016
2,2,8,0.695900023
2,64,4,0.697899997
2,2,64,0.698800027
2,512,16,0.699100018
2,256,512,0.699500024
2,2,1024,0.702499986
2,512,64,0.703499973
2,256,32,0.704699993
2,2048,1024,0.704999983
2,2048,16,0.70569998
2,4,128,0.705799997
2,2,256,0.707599998
2,32,128,0.707599998
2,128,8,0.708100021
2,8,16,0.709800005
2,1024,64,0.710200012
2,1024,2048,0.711899996
4,2,8,0.712000012
2,64,128,0.712499976
2,128,256,0.713699996
2,512,1024,0.713999987
2,4,64,0.714699984
2,512,256,0.715499997
2,128,128,0.716499984
2,256,64,0.717499971
2,16,16,0.719099998
2,16,128,0.719900012
4,8,2,0.720200002
2,32,2048,0.721099973
2,2048,8,0.721300006
2,16,8,0.722100019
2,2048,64,0.722299993
2,64,256,0.722500026
2,2048,2048,0.722500026
2,64,8,0.722800016
2,1024,1024,0.722800016
2,256,2048,0.722899973
2,64,32,0.723100007
